text,sentiment,prep_processed_text
@VivYau is it all doom and gloom? I only want to hear lovely things about airbnb!,sadness,doom gloom want hear lovely thing airbnb
my haters are like crickets. they chirp all day but when I walk past them they shut the fuck up.- @DritaDavanzo (my idol),joy,hater like cricket chirp day walk past shut fuck idol
i love the word fret so much and im in heaven,sadness,love word fret m heaven
Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. ,sadness,Patti sad stamp run sofa plenty love affection usual
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger,feel travel 700 mile pick form arrive post day leave fume
"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP",sadness,prayer family friend amp member mourn loss Engineer Ryan Osler LODD rip
.@Travelanswerman: When U ride on a pile of salt life is extra sweet! Always salty always savory! #surfing #aloha #smiling â€¦,joy,u ride pile salt life extra sweet salty savory surf aloha smile aEUR
@warFarePower dip it in boiling water,anger,dip boiling water
Had a dream last night that Chris Brown created a diss track about Drake and Rihanna called 'I Hit It First' ðŸ˜³ðŸ˜³ #dark,sadness,dream night Chris Brown create diss track Drake Rihanna call hit dark
"@RichardHBell Yes, I think he held a grudge ...",anger,yes think hold grudge
jamming out to fury in math class wanting to die hbu,anger,jam fury math class want die hbu
"if you have been on depression too u shouldn't be judging him and exposing him to everyone, but helping him",sadness,depression u judge expose help
"@nigglydz lydiaaaa, we were the only ones that were supposed to know that you make me nervous ðŸ˜¶",fear,lydiaaaa one suppose know nervous
@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs ðŸ¤—,joy,wonderful singing prowess phenomenal damn elated watch act thisisus
Just want to be a dad so i can play kick the baby with my little one #southpark #mellogang #ghastly #edm #plur #dad #djlife #dj #producer,fear,want dad play kick baby little southpark mellogang ghastly edm plur dad djlife dj producer
"@Jinath_Hyder I can't have alcohol on it, sadly, but it only flares up under very specific circumstances so I just need to be more careful",sadness,alcohol sadly flare specific circumstance need careful
"@falklands_utd @mauriciomacri \nbecause distrust in life , Argentina has a lot of heart and this President is worth every vote.",fear,distrust life Argentina lot heart President worth vote
I can't even right now #bb18 ,anger,right bb18
@vibaby @imEB y'all had crackheads in the islands? I don't know why I find that so interesting and shocking,fear,crackhead island know find interesting shocking
Bill Clinton: 'Do not grow weary of doing good.' @ClintonGlobal #CGI2016,sadness,Bill Clinton grow weary good CGI2016
"You know what's great about #GBBO ? Contestants helping each other, cheering each other on. So important.",joy,know great GBBO contestant help cheer important
"@JackAndAHat butter up the walls, nightmare",fear,butter wall nightmare
"The human race has one really effective weapon, and that is laughter. -- Mark Twain",joy,human race effective weapon laughter Mark Twain
PM #SheikhHasina in @UN speech terms #terrorism as global challenge and urges world leaders to work together to unroot it from everywhere.,fear,pm SheikhHasina speech term terrorism global challenge urge world leader work unroot
I mourn the creativity lost.,sadness,mourn creativity lose
sorry im so #bitter i just. i either want a pure ur or literally any card from the sets i like but every time i draw for the sets i like&gt;,anger,sorry m bitter want pure ur literally card set like time draw set
Shoutout to the drunk man on the bus who pissed in a bottle and on the seats ,sadness,shoutout drunk man bus piss bottle seat
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger,thank say wife get iphone today lose ETA thank angry
"@savageimiike one of my favorite songs brother, real talk. #rage",anger,favorite song brother real talk rage
@ChowdharyMahima Appreciate ur 'half truth.' Don't let ur good judgement swayed in the realm of propaganda. State doesn't sponsor terrorism.,fear,appreciate ur half truth let ur good judgement sway realm propaganda state sponsor terrorism
@jetmissTee I thought I peeped him on your snap. That's the homie âœŠðŸ½ lol,anger,think peep snap homie lol
The 'banter' from Craigen and Sutton on BT is fucking horrid,fear,banter Craigen Sutton BT fucking horrid
You sure have a lot to say about something that doesn't even concern you ðŸ˜‰,fear,sure lot concern
mirana told me to shut up when i was singing along to glee...,joy,mirana tell shut singe glee
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage,anger,look forward open stuartspecial literally yell tv umbrage
"@Nekudere oh ok, yeah I felt dumb like I think I would have known if it was animated at least lmao",joy,oh ok yeah feel dumb like think know animate lmao
"I can literally eat creamy pesto pasta topped with grilled chicken, sun dried tomatoes, asparagus and pine nuts every single day of my life",sadness,literally eat creamy pesto pasta top grill chicken sun dry tomato asparagus pine nut single day life
Anyyyyone wanna go to fright fest with me on Friday night? ðŸ‘»,fear,anyyyyone wanna fright f Friday night dy
never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,anger,decision angry promis happy
"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",anger,way blood boil little bastard
Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding .,fear,Obama admin reject Texas plan refugee vet terrorism Texas pull fed refugee resettlement program aid
@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol,anger,ste luckily fly happy drunk lolololol
Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,anger,fist laptop screen time new lmao rage anger hp
While we focus on issue of #IPCA @IHFOKids Indulges in #intimidation @BringRoshniHome @ChildrensIssues @MEAIndia @MinistryWCD #StopCruelty,fear,focus issue IPCA indulge intimidation StopCruelty
Watch this amazing live.ly broadcast by @__.mila.__  #musically,joy,watch amazing broadcast musically
Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable ,fear,nap day comfortable sleep night comfortable
@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!,anger,chop feel feel sting look brutal
Is it terrorism to intimidate a populace? What case held 'coercion by people in uniform is per se intimidation'?,fear,terrorism intimidate populace case hold coercion people uniform se intimidation
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen. #anger #loathing,anger,zero help customer service push buck forth promise callback donaEUR t happen anger loathing
"Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is ",fear,Jesus weep RNS rusty quote price sensitive news Price Sensitive news etc etc ramping
"@MalYoung @AngelicaMcD I hope to now see some levity, light, romance and happiness come Stitch and Abby's way after such a long hard road.",joy,hope levity light romance happiness come Stitch Abby way long hard road
Where's your outrage when a black man kills another black man in the streets?,anger,outrage black man kill black man street
Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious,joy,get comedic relief season premiere ModernFamily girl need hilarious
it was both lively &amp; lovely @crumblepie15 @buryprofs @DittoBistro #BuffnPolish,joy,lively amp lovely BuffnPolish
To com sede de milk shake,fear,com sede de milk shake
"I really love the customer service @LifeProof they're always so nice, helpful and cheerful !",joy,love customer service nice helpful cheerful
testing ,anger,testing
Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,joy,Ryan Gosling Eva mende finally B joyful funny dont boss dont argue kid mini car focus love
@johnwintertweet dudes who wanna play some bass but not buy a bass (me) rejoice,joy,dude wanna play bass buy bass rejoice
I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse,sadness,watch favorite youtuber month honestly depression bad
@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam,sadness,provide customer w equipment deliver speed internet service charge unhappy scam
Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice  #sadness,anger,move clip youtube tonight vigil hold Tulsa Metropolitan Baptist church TerenceCruther justice sadness
Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another ðŸ˜‚ðŸ™ƒ #snap survival,anger,snapchat constant battle ugly snap f snap survival
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ,anger,bad news order online go happen order phone
@iTriborg â€” make him feel vigorous. 'Fine. You can kill me now.' Said Hestia with a display of only despair rather than her joyful â€”,sadness,aEUR feel vigorous fine kill say Hestia display despair joyful aEUR
My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism #awe,fear,view human dynamic expression Cosmos exist humanism awe
Huns are like a box of coffee revels ,fear,hun like box coffee revel
You have a #problem? Yes! Can you do #something about it? No! Than why #worry,fear,problem yes worry
@stevie7t Why does talksport sound like it's being broadcasted from someone's basement  #quality #amateurs,fear,t talksport sound like broadcast basement quality amateur
@safety @Support \nHi ðŸŒ·\nWhy do you always suspend ISIS hunters\n \nðŸ‘‰@snafy2019\n\nKindly please reinstate our members\n*He fights terrorism d/n,fear,suspend ISIS reinstate fight terrorism d n
Super shitting it about this tattoo ,fear,Super shit tattoo
@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger,fly fit rage FAIR
Taguchi engineering fashionable hale and hearty little game optimization: MqnAOcU,joy,Taguchi engineer fashionable hale hearty little game optimization MqnAOcU
the ending of how I met your mother is dreadful,fear,ending meet mother dreadful
So they #threaten to kill #kapernick for KNEELING. I say every athlete just stop playing until social justice and equality comes forth.,fear,threaten kill kapernick KNEELING athlete stop play social justice equality come forth
@AerLingus #business class #Los Angeles to Dublin #destroyed luggage #60 day customer response time #unhappy customer,sadness,business class Los Angeles Dublin destroy luggage 60 day customer response time unhappy customer
Scored madden 13 on vita for $20AU today.  Bloke didn't know what he had. I'd have happily paid $70 ðŸ¤‘ my only ever bargain! #bargain #vit,anger,score madden 13 vita 20au today Bloke know happily pay 70 bargain bargain vit
Groom gloom.,sadness,groom gloom
@harowe this sad truth!,sadness,sad truth
@mackenzian yes! That was my one qualm. These are deeply theological issues we're engaging theologically.,fear,yes qualm deeply theological issue engage theologically
The best revenge is massive success. â€“Frank Sinatra,anger,good revenge massive success Sinatra
Did you know I specialise in #anxiety  and #panic attacks? Get in touch for all of my solutions for you. #Coventry,fear,know specialise anxiety panic attack touch solution coventry
"A little nose irritation and a little more chills on my body. I'm so not into flu, into flu, into flu #FallSongs",anger,little nose irritation little chill body flu flu flu FallSongs
@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30 ,anger,GAME DAY T MINUS
It's just the lack of company and liveliness out here that makes me bored.,joy,lack company liveliness make bored
@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next 2 months.,sadness,lay bed mope like intend 2 month
"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",anger,ummm blog say Simon Stehr fake expect investigation forthwith outrage
@Disneyland #nothappy and still #charging the #fullprice ðŸ˜¡ðŸ˜¡ #fuming some your #bestrides ðŸ˜³ðŸ˜³,anger,nothappy charge fullprice fume bestride
I believe women are more fiery because once a month they go through struggle and struggle is what develops a strong character.,anger,believe woman fiery month struggle struggle develop strong character
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger,totally know Trump finally get revenge son law prosecution imprisonment throw Christie bus
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",fear,help majority NFL coaching inept Bill play calling wow GOPATS
@JaredLeto Jared + #snap? ðŸ’˜,anger,Jared snap
@The_Boxing_Hub #klitschko @Klitschko over fury any day #boxing,anger,klitschko fury day box
NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull,sadness,NL bureaucrat director group form oppose NL megaproject nlpoli dull
The word happiness would lose its meaning if it were not balanced by sadness.,sadness,word happiness lose meaning balance sadness
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",fear,war guise combat terrorism fact war poverty ignorance stupidity
People irritate my MF soul,anger,People irritate mf soul
@CorbettBarr @pjrvs @brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch.,anger,true spit venom bitter Stripe like old man yell porch
Indignation: [whispers to date during that terrific Lerman/Letts centerpiece scene] That's his overwhelming sense of indignation.,anger,indignation whisper date terrific Lerman Letts centerpiece scene overwhelming sense indignation
@mr_HAAAAN wow inadvertently horrible puns is definitely my thing,fear,wow inadvertently horrible pun definitely thing
@pianimadi regarde tes snap,anger,regarde te snap
@jack_haug_lifty @eable It's Ms btw. we were lied to by Remain. dry your remainer tears; Just accept you #lost,sadness,Ms btw lie Remain dry remainer tear accept lose
"@RealMichaelKay Annoys me to about the Ortiz tribute too, how would the Oriole fans and organization feel if Yanks did that to them? #awful",fear,annoy Ortiz tribute Oriole fan organization feel Yanks awful
I need a syfy series to watch I literally have nothing to watch back to back. I already watched #heroes #lost #jericho #fallenskies  etc etc,sadness,need syfy series watch literally watch watch hero lose jericho fallenskie etc etc
Candace &amp; her pout are getting right on my tits #GBBO,anger,Candace amp pout get right tit GBBO
@Jchawes What is your favorite #horror movie? #ghosthunters,fear,favorite horror movie ghosthunter
"#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment â€¦",joy,gift call present happiness optimism entrepreneur personaldevelopment aEUR
"also other ppl who i love a whole damn lot; erica, joanna, tiff, sirli, harley, anja, (the rest of the gc bc i ran out of chara!)",anger,ppl love damn lot erica joanna tiff sirli harley anja rest gc bc run chara
also who has amazon prime that would like to help a girl out LOL #serious,sadness,amazon prime like help girl LOL
#My #blood is so #bitter for satan to test #becouse #cleanse by the #blood of #Jesus christ....#amen.,anger,blood bitter satan test becouse cleanse blood Jesus christ amen
I have a job interview with @BarclaysUK in Loughborough next month #nervous!!!,fear,job interview Loughborough month nervous
Haven't gotten one hour of sleep... Today is going to be a fun day ðŸ˜ ,fear,get hour sleep today go fun day
@AOLUK @JamesHayr @TheDrum Anychance of addressing the communication I sent to you yesterday??? I still haven't had any contact #shocking,fear,anychance address communication send yesterday contact shocking
If Monday had a face I would punch it #monday #horrible #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow,fear,Monday face punch monday horrible face punch fight joke like firstworldproblem need coffee asap follow
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,anger,think scare coworker eat like rabid animal break srry
No quite sure how Craig Gordon's stayed on the park there !!,sadness,sure Craig Gordon stay park
Jimmy Carr makes me want to cry and cry *shiver* ,fear,Jimmy Carr make want cry cry shiver
@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,anger,nt blm thug want justice black black gang crime rage cry racism cop
@JamesWickham Congratulations!  My top home-owning tip: try not to look at your mortgage balance too often.  The slowness will depress you.,sadness,Congratulations home own tip try look mortgage balance slowness depress
Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,sadness,evaluation come minimally effective student test score PARCC sink eval time quit teaching
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,fear,scary American Horror Story gon na watch daytime frighten
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",anger,luck rest Fall go like today think go like season bestdayever magic work
"A liar an a bully for president? They say every vote matter , well  I'm sorry you'll not get my vote until the year 2020",fear,liar bully president vote matter sorry vote year 2020
I've always had a weird grudge against stingrays ever since one killed Steve Irwin.,anger,weird grudge stingray kill Steve Irwin
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger,need people hog machine use 3 machine time angry notfair whypay
A joyous first webiversary/web mitzvah to Smithsonian's @WeiPoints!! @brianwolly @jackie_mansky @bethpylieberman @bilbo @mazeltov,joy,joyous webiversary web mitzvah Smithsonian
the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol,joy,prospect getting choke hot daddy tonight sorta cheer kinda wanna watch new AHS episode lol
@EmmyMitchell_  hahahaha you're ridiculous!!! But thank you a joyous evening xx,joy,hahahaha ridiculous thank joyous evening xx
there are #serious #chinks in #Indiaâ€™s #armour'\n#protein\n#malnutrition\n#feedingIndia\n#skillingIndia\n#cognitive #deficit\n@Abhijit_Iyer,sadness,chink IndiaaEUR s
#Trump â€™s â€˜Make America Great Againâ€™ plan is exactly like the first 15 minutes of the #movie #ChildrenOfMen.\n\n#cages #terrorism #refugees,fear,Trump aEUR s America Great AgainaEUR plan exactly like 15 minute movie terrorism refugee
The object of literature is to make man a wiser and happier being. The poet makes us happy because he tells us how we may become so.,joy,object literature man wise happy poet make happy tell
"GKN so lively as well, mad quick",joy,GKN lively mad quick
Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning... #glee #books #reading,joy,time hit library lovely pile book reservation collect morning glee book read
Today's realisation that it was the last time I watch swimming lesson cos I go back to work next week lead to a joyous bedtime. #worstoneyet,joy,today realisation time watch swimming lesson cos work week lead joyous bedtime worstoneyet
"Literally had a guy (a some-would-say-successful guy) tell me 'this ship will sail' kay guy, first, you're working with a sub, last, it sunk",sadness,literally guy successful guy tell ship sail kay guy work sub sink
Colors of the leaves are- changing.  Heatwaves in LA still- raging.  Lattes made in batches. Visit pumpkin patches. #FallSongs,anger,color leave change heatwave LA rage Lattes batch visit pumpkin patch FallSongs
I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now ðŸ˜ž,sadness,miss social medium place laugh jump dm lol shit depress
"Ooh #hygge, candles, jasmine tea &amp; #GBBO #happy",joy,ooh hygge candle jasmine tea amp GBBO happy
I aspire to have Val's self confidence and optimism tbh ðŸ‘ðŸ’– #GBBO,joy,aspire Val self confidence optimism tbh gbbo
Not sure that men can handle a woman that's got her crap together. #intimidation #independent,fear,sure man handle woman get crap intimidation independent
"Three days off a month with two ex wives and no home could be worse. I don't know how, but it could #oilandgas #optimism",joy,day month ex wife home bad know oilandgas optimism
I have a job interview with @BarclaysUK in Loughborough next month !!!,fear,job interview Loughborough month
"Turkish exhilaration: for a 30% shade off irruptive russian visitors this twelvemonth, gobbler is nephalism so...",joy,turkish exhilaration 30 shade irruptive russian visitor twelvemonth gobbler nephalism
Relive Vegas' heyday with Rat Pack tribute,joy,relive Vegas heyday Rat Pack tribute
"@cstonehoops Gonzaga not listed in the article but at 65/1 they have tremendous value, they are top10 team for sure, got everything you want",fear,Gonzaga list article tremendous value top10 team sure get want
"When tears r inappropriate: 'This day is holy to our Lord. Do not grieve, for the joy of the LORD is your strength.' Nehemiah 8:10 NIV #joy",sadness,tear r inappropriate day holy Lord grieve joy LORD strength Nehemiah NIV joy
@BlairWitchMovie love new movie\n#BlairWitch #blairwitchproject #horror #HorrorMovies,fear,love new blairwitchproject horror HorrorMovies
testing #angry,anger,test angry
